0 CONSTSYM const
1 IDENT z
2 EQL =
3 NUMBER 0
4 SEMICOLON ;
5 VARSYM var
6 IDENT head
7 COMMA ,
8 IDENT foot
9 COMMA ,
10 IDENT cock
11 COMMA ,
12 IDENT rabbit
13 COMMA ,
14 IDENT n
15 SEMICOLON ;
16 BEGINSYM begin
17 IDENT n
18 BECOMES :=
19 IDENT z
20 SEMICOLON ;
21 READSYM read
22 LPAREN (
23 IDENT head
24 COMMA ,
25 IDENT foot
26 RPAREN )
27 SEMICOLON ;
28 IDENT cock
29 BECOMES :=
30 NUMBER 1
31 SEMICOLON ;
32 WHILESYM while
33 IDENT cock
34 LEQ <=
35 IDENT head
36 DOSYM do
37 BEGINSYM begin
38 IDENT rabbit
39 BECOMES :=
40 IDENT head
41 MINUS -
42 IDENT cock
43 SEMICOLON ;
44 IFSYM if
45 IDENT cock
46 TIMES *
47 NUMBER 2
48 PLUS +
49 IDENT rabbit
50 TIMES *
51 NUMBER 4
52 EQL =
53 IDENT foot
54 THENSYM then
55 BEGINSYM begin
56 WRITESYM write
57 LPAREN (
58 IDENT cock
59 COMMA ,
60 IDENT rabbit
61 RPAREN )
62 SEMICOLON ;
63 IDENT n
64 BECOMES :=
65 IDENT n
66 PLUS +
67 NUMBER 1
68 SEMICOLON ;
69 ENDSYM end
70 SEMICOLON ;
71 IDENT cock
72 BECOMES :=
73 IDENT cock
74 PLUS +
75 NUMBER 1
76 SEMICOLON ;
77 ENDSYM end
78 SEMICOLON ;
79 IFSYM if
80 IDENT n
81 EQL =
82 NUMBER 0
83 THENSYM then
84 WRITESYM write
85 LPAREN (
86 NUMBER 0
87 COMMA ,
88 NUMBER 0
89 RPAREN )
90 ENDSYM end
91 PERIOD .


与预期相符，没有问题。
